transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl
0.85 0.4 10 200
0.9 0.4 10 200
0.95 0.4 10 200
1 0.4 10 200
0 0.45 5 91
0.05 0.45 7 92
0.1 0.45 21 117
0.15 0.45 27 165
0.2 0.45 23 181
0.25 0.45 21 193
0.3 0.45 18 195
0.35 0.45 17 197
0.4 0.45 15 198
0.45 0.45 14 199
0.5 0.45 13 199
0.55 0.45 13 199
0.6 0.45 12 199
0.65 0.45 12 199
0.7 0.45 11 199
0.75 0.45 11 200
0.8 0.45 11 199
0.85 0.45 11 200
0.9 0.45 10 200
0.95 0.45 10 200
1 0.45 10 200
0 0.5 5 101
0.05 0.5 7 102
0.1 0.5 16 114
0.15 0.5 25 154
0.2 0.5 24 178
0.25 0.5 21 187
0.3 0.5 19 194
0.35 0.5 18 197
0.4 0.5 16 199
0.45 0.5 15 199
0.5 0.5 14 199
0.55 0.5 13 199
0.6 0.5 13 199
0.65 0.5 12 199
0.7 0.5 12 199
0.75 0.5 11 199
0.8 0.5 11 199
0.85 0.5 11 199
0.9 0.5 11 199
0.95 0.5 10 200
1 0.5 10 200
0 0.55 5 111
0.05 0.55 7 112
0.1 0.55 14 120
0.15 0.55 24 148
0.2 0.55 25 173
0.25 0.55 21 184
0.3 0.55 20 193
0.35 0.55 18 196
0.4 0.55 17 197
0.45 0.55 16 198
0.5 0.55 15 198
0.55 0.55 14 199
0.6 0.55 13 199
0.65 0.55 13 199
0.7 0.55 12 199
0.75 0.55 12 199
0.8 0.55 11 199
0.85 0.55 11 200
0.9 0.55 11 200
0.95 0.55 11 200
1 0.55 11 200
0 0.6 5 121
0.05 0.6 6 121
0.1 0.6 12 126
0.15 0.6 20 143
0.2 0.6 25 171
0.25 0.6 23 184
0.3 0.6 21 190
0.35 0.6 19 193
0.4 0.6 18 196
0.45 0.6 16 198
0.5 0.6 15 199
0.55 0.6 15 199
0.6 0.6 14 199
0.65 0.6 13 199
0.7 0.6 13 199
0.75 0.6 12 199
0.8 0.6 12 199
0.85 0.6 12 199
0.9 0.6 11 199
0.95 0.6 11 200
1 0.6 11 199
0 0.65 5 131
0.05 0.65 6 131
0.1 0.65 9 134
0.15 0.65 17 144
0.2 0.65 22 162
0.25 0.65 24 178
0.3 0.65 22 186
0.35 0.65 21 192
0.4 0.65 19 196
0.45 0.65 17 197
0.5 0.65 16 197
0.55 0.65 15 199
0.6 0.65 15 199
0.65 0.65 14 199
0.7 0.65 13 199
0.75 0.65 13 199
0.8 0.65 13 199
0.85 0.65 12 199
0.9 0.65 12 199
0.95 0.65 12 199
1 0.65 11 199
0 0.7 5 141
0.05 0.7 6 141
0.1 0.7 8 143
0.15 0.7 12 147
0.2 0.7 18 158
0.25 0.7 23 172
0.3 0.7 22 183
0.35 0.7 21 188
0.4 0.7 20 192
0.45 0.7 19 196
0.5 0.7 18 196
0.55 0.7 17 197
0.6 0.7 15 198
0.65 0.7 15 199
0.7 0.7 14 199
0.75 0.7 14 199
0.8 0.7 13 199
0.85 0.7 13 199
0.9 0.7 13 199
0.95 0.7 12 199
1 0.7 12 199
0 0.75 5 151
0.05 0.75 6 151
0.1 0.75 7 152
0.15 0.75 9 154
0.2 0.75 14 159
0.25 0.75 17 166
0.3 0.75 21 176
0.35 0.75 21 182
0.4 0.75 21 187
0.45 0.75 20 191
0.5 0.75 19 194
0.55 0.75 18 196
0.6 0.75 17 197
0.65 0.75 16 198
0.7 0.75 15 198
0.75 0.75 15 198
0.8 0.75 14 199
0.85 0.75 14 199
0.9 0.75 13 199
0.95 0.75 13 199
1 0.75 13 199
0 0.8 5 161
0.05 0.8 5 161
0.1 0.8 6 161
0.15 0.8 8 162
0.2 0.8 11 165
0.25 0.8 13 168
0.3 0.8 15 171
0.35 0.8 18 178
0.4 0.8 19 183
0.45 0.8 20 187
0.5 0.8 20 191
0.55 0.8 18 194
0.6 0.8 19 196
0.65 0.8 17 197
0.7 0.8 17 197
0.75 0.8 16 197
0.8 0.8 15 197
0.85 0.8 15 198
0.9 0.8 14 198
0.95 0.8 14 199
1 0.8 14 199
0 0.85 5 171
0.05 0.85 5 171
0.1 0.85 6 171
0.15 0.85 6 171
0.2 0.85 8 173
0.25 0.85 8 173
0.3 0.85 9 174
0.35 0.85 12 177
0.4 0.85 14 180
0.45 0.85 15 181
0.5 0.85 18 186
0.55 0.85 18 188
0.6 0.85 18 189
0.65 0.85 18 191
0.7 0.85 17 193
0.75 0.85 18 196
0.8 0.85 17 196
0.85 0.85 17 197
0.9 0.85 16 197
0.95 0.85 16 198
1 0.85 15 198
0 0.9 5 181
0.05 0.9 5 181
0.1 0.9 5 181
0.15 0.9 5 181
0.2 0.9 6 181
0.25 0.9 6 181
0.3 0.9 7 182
0.35 0.9 8 183
0.4 0.9 9 183
0.45 0.9 9 184
0.5 0.9 11 185
0.55 0.9 12 186
0.6 0.9 12 187
0.65 0.9 13 188
0.7 0.9 13 189
0.75 0.9 14 190
0.8 0.9 15 192
0.85 0.9 16 192
0.9 0.9 15 193
0.95 0.9 16 195
1 0.9 15 194
0 0.95 5 191
0.05 0.95 5 191
0.1 0.95 5 191
0.15 0.95 5 191
0.2 0.95 5 191
0.25 0.95 5 191
0.3 0.95 5 191
0.35 0.95 6 191
0.4 0.95 6 191
0.45 0.95 6 191
0.5 0.95 7 192
0.55 0.95 7 192
0.6 0.95 7 192
0.65 0.95 7 192
0.7 0.95 7 192
0.75 0.95 8 192
0.8 0.95 7 192
0.85 0.95 7 192
0.9 0.95 8 193
0.95 0.95 8 193
1 0.95 8 193
